section,metric,value,value_status,value_formula,sites_included_n,sites_missing_n,source_sheet,source_row
Comparison to Antigen,Number of FloodLAMP Test Person Cases with Same Day Referral Antigen Tests,62,partial,sum(site values),6,4,AGGREGATE,
Comparison to Antigen,Number of FloodLAMP Positive Test Person Cases with Same Day Antigen Negative,15,partial,sum(site values),6,4,AGGREGATE,
Comparison to Antigen,% Confirmed FloodLAMP Positives with Same Day Antigen Negative,0.24193548387096775,partial,positive_same_day_antigen_neg / positive_same_day_antigen,6,4,AGGREGATE,
Comparison to Antigen,Number of FloodLAMP Positive Test Person Cases confirmed with Referral Tests but Antigen and Other Non-Antigen Test Negative,1,partial,sum(site values),6,4,AGGREGATE,
Comparison to Antigen,% Confirmed FloodLAMP Positives that were Antigen and Other Non-Antigen Test Negative,,not_available,positive_antigen_other_neg / positive_antigen_other,0,10,AGGREGATE,
False Calls,False Positives Final Results,0,ok,sum(site values),10,0,AGGREGATE,
False Calls,False Negative Final Results (Suspected),0,ok,sum(site values),10,0,AGGREGATE,
People,Number of Unique Indivuals Tested,2752,partial,sum(site values),9,1,AGGREGATE,
People,Number of Unique Sponsors,481,partial,sum(site values),9,1,AGGREGATE,
Positivity,Number of Unique Individual Tested FloodLAMP Positive,444,partial,sum(site values),9,1,AGGREGATE,
Positivity,% of Population FloodLAMP Positive (excluding pools not deconv),0.1613372093023256,partial,unique_positive / unique_individuals,9,1,AGGREGATE,
Positivity,Number of Unique Individual Tested FloodLAMP Positive (including if in a positive pool),475,partial,sum(site values),9,1,AGGREGATE,
Positivity,% of Population FloodLAMP Positive (including everyone in a positive pool),0.1726017441860465,partial,unique_positive_incl_pool / unique_individuals,9,1,AGGREGATE,
Dates,Start Run Date,2020-12-11,ok,min(site values),10,0,AGGREGATE,
Dates,End Run Date,2023-06-02,ok,max(site values),10,0,AGGREGATE,
